iter	RMSE
0	15.17208206
1	14.98181189
2	14.77674723
3	14.58170737
4	14.37816277
5	14.1797608
6	13.98607862
7	13.79704091
8	13.60722629
9	13.423005
10	13.24406577
11	13.06187978
12	12.88926372
13	12.71272846
14	12.53886999
15	12.36914283
16	12.20091456
17	12.03094888
18	11.87359765
19	11.71887483
20	11.5601252
21	11.40184927
22	11.24512587
23	11.09651692
24	10.94210309
25	10.78883946
26	10.64523009
27	10.50112627
28	10.35732025
29	10.21745932
30	10.07652844
31	9.939074136
32	9.803033416
33	9.671906489
34	9.543132139
35	9.417558308
36	9.291267841
37	9.163356264
38	9.042394325
39	8.918464233
40	8.800885326
41	8.683900413
42	8.566337501
43	8.454213741
44	8.342013512
45	8.228650219
46	8.116959922
47	8.004932634
48	7.899660973
49	7.792891922
50	7.689456878
51	7.588246452
52	7.488368389
53	7.389165402
54	7.290807596
55	7.193656181
56	7.101391694
57	7.009458922
58	6.917546723
59	6.829548195
60	6.738991243
61	6.648910262
62	6.558546361
63	6.473796695
64	6.388313751
65	6.304304827
66	6.221184322
67	6.140047559
68	6.059040729
69	5.98011986
70	5.900963308
71	5.825156761
72	5.750695163
73	5.674551744
74	5.604302848
75	5.529696718
76	5.459721531
77	5.390657444
78	5.320436198
79	5.251709129
80	5.185338077
81	5.121560614
82	5.056221378
83	4.990577328
84	4.928251355
85	4.868657531
86	4.807869434
87	4.750447558
88	4.693408312
89	4.636176017
90	4.580719099
91	4.522837522
92	4.467024191
93	4.411268198
94	4.357397682
95	4.308082892
96	4.253388523
97	4.203233903
98	4.152340983
99	4.104020886
100	4.056625871
101	4.007633307
102	3.957452398
103	3.91187934
104	3.867871223
105	3.8224469
106	3.777739801
107	3.734655876
108	3.688825851
109	3.645968972
110	3.601467455
111	3.56042313
112	3.519639731
113	3.478249667
114	3.43553028
115	3.397292157
116	3.357136662
117	3.315699301
118	3.278601357
119	3.241164502
120	3.201973211
121	3.16510289
122	3.127072472
123	3.091520643
124	3.055745922
125	3.02040057
126	2.985398837
127	2.953371354
128	2.919051768
129	2.884619224
130	2.852664428
131	2.820717671
132	2.789196921
133	2.756816274
134	2.724390261
135	2.694147796
136	2.662786766
137	2.636009396
