iter	Passed	Remaining
0	10	7178
1	20	7327
2	30	7169
3	31	5445
4	32	4490
5	32	3804
6	43	4313
7	54	4716
8	65	4997
9	68	4705
10	78	4906
11	89	5128
12	100	5289
13	110	5434
14	121	5560
15	132	5668
16	142	5745
17	153	5830
18	164	5881
19	164	5589
20	175	5658
21	185	5709
22	186	5488
23	196	5544
24	207	5594
25	208	5399
26	219	5465
27	229	5517
28	240	5570
29	251	5622
30	257	5558
31	268	5598
32	279	5655
33	282	5541
34	293	5575
35	304	5613
36	306	5483
37	306	5339
38	306	5199
39	317	5239
40	328	5279
41	339	5321
42	350	5356
43	361	5393
44	371	5413
45	372	5294
46	382	5320
47	393	5350
48	405	5392
49	412	5359
50	422	5378
51	433	5402
52	435	5314
53	446	5340
54	456	5357
55	460	5290
56	470	5312
57	481	5327
58	492	5345
59	502	5363
60	513	5383
61	524	5396
62	535	5411
63	545	5425
64	556	5438
65	567	5453
66	578	5465
67	589	5481
68	592	5422
69	593	5345
70	604	5358
71	610	5323
72	611	5251
73	621	5258
74	631	5266
75	642	5275
76	652	5282
77	663	5292
78	674	5301
79	685	5309
80	695	5316
81	706	5328
82	717	5334
83	728	5343
84	739	5353
85	750	5359
86	761	5368
87	767	5338
88	773	5310
89	784	5315
90	790	5286
91	800	5292
92	812	5300
93	823	5306
94	833	5309
95	836	5266
96	848	5273
97	854	5247
98	856	5196
99	866	5199
100	877	5201
101	878	5151
102	889	5155
103	890	5104
104	891	5052
105	897	5027
106	902	5003
107	913	5005
108	924	5012
109	935	5016
110	946	5021
111	956	5024
112	958	4980
113	969	4985
114	981	4992
115	991	4993
116	1002	4994
117	1013	4998
118	1024	4999
119	1034	5000
120	1045	5003
121	1056	5007
122	1067	5008
123	1078	5010
124	1089	5012
125	1095	4990
126	1098	4956
127	1109	4955
128	1119	4954
129	1130	4955
130	1140	4955
131	1151	4956
132	1157	4934
133	1167	4933
134	1178	4932
135	1189	4933
136	1200	4931
137	1203	4899
138	1213	4899
139	1224	4896
140	1234	4894
141	1245	4893
142	1255	4891
143	1266	4890
144	1278	4892
145	1284	4874
146	1295	4874
147	1306	4871
148	1316	4869
149	1327	4869
150	1338	4867
151	1349	4865
152	1355	4845
153	1366	4843
154	1376	4841
155	1387	4839
156	1399	4838
157	1410	4837
158	1421	4835
159	1431	4832
160	1442	4830
161	1453	4827
162	1464	4823
163	1474	4820
164	1475	4783
165	1486	4781
166	1492	4762
167	1502	4759
168	1513	4756
169	1524	4754
170	1536	4753
171	1547	4749
172	1558	4746
173	1569	4743
174	1579	4739
175	1590	4736
176	1601	4731
177	1612	4727
178	1622	4722
179	1633	4717
180	1633	4684
181	1644	4681
182	1645	4648
183	1655	4643
184	1667	4640
185	1678	4637
186	1690	4636
187	1700	4631
188	1711	4626
189	1721	4621
190	1732	4618
191	1736	4593
192	1738	4568
