Team,Conference,Bid,NET_Rank,Predicted_Seed,Raw_Score
Duke,ACC,AL,1,1,1.64
Michigan,Big Ten,AL,2,2,1.6400000000000001
Arizona,Big 12,AL,3,3,2.7199999999999998
Houston,Big 12,AL,5,4,4.08
Florida,SEC,AL,4,5,4.920000000000001
Iowa St.,Big 12,AL,7,6,6.0
Purdue,Big Ten,AL,9,7,7.0
UConn,Big East,AL,10,8,9.160000000000002
Nebraska,Big Ten,AL,13,9,9.0
Illinois,Big Ten,AL,8,10,10.000000000000002
Michigan St.,Big Ten,AL,11,11,9.840000000000002
Vanderbilt,SEC,AL,14,12,12.36
Virginia,ACC,AL,12,13,13.44
Arkansas,SEC,AL,16,14,14.120000000000001
Alabama,SEC,AL,17,15,15.84
Kansas,Big 12,AL,21,16,16.0
Texas Tech,Big 12,AL,18,17,16.92
Gonzaga(AQ),WCC,AL,6,18,16.32
St. John's (NY),Big East,AL,20,19,20.279999999999998
BYU,Big 12,AL,23,20,20.080000000000002
Louisville,ACC,AL,15,21,21.36
Tennessee,SEC,AL,19,22,22.200000000000003
Wisconsin,Big Ten,AL,25,23,21.440000000000005
North Carolina,ACC,AL,24,24,23.64
UCLA,Big Ten,AL,31,25,26.160000000000004
Kentucky,SEC,AL,28,26,25.92
Ohio St.,Big Ten,AL,30,27,27.000000000000004
Saint Mary's (CA),WCC,AL,22,28,26.92
Miami (FL),ACC,AL,32,29,29.44
Clemson,ACC,AL,34,30,31.56
Iowa,Big Ten,AL,26,31,30.92
Villanova,Big East,AL,35,32,31.560000000000002
Georgia,SEC,AL,33,33,32.519999999999996
TCU,Big 12,AL,38,34,33.92
Utah St.,Mountain West,AQ,27,35,34.080000000000005
UCF,Big 12,AL,52,36,36.28
Santa Clara,WCC,AL,40,37,38.64000000000001
NC State,ACC,AL,36,38,38.48
Auburn,SEC,AL,39,39,38.919999999999995
Texas A&M,SEC,AL,43,40,38.800000000000004
Saint Louis,Atlantic 10,AQ,29,41,41.040000000000006
SMU,ACC,AL,37,42,42.2
VCU,Atlantic 10,AL,44,43,43.24
Texas,SEC,AL,42,44,43.84
Missouri,SEC,AL,58,45,43.56
South Fla.,American,AQ,49,46,46.0
UNI(AQ),MVC,AQ,71,47,47.56
Yale,Ivy League,AQ,66,48,48.08
Miami (OH),MAC,AQ,64,49,48.36
Utah Valley,WAC,AQ,84,50,50.0
SFA,Southland,AQ,89,51,51.720000000000006
High Point(AQ),Big South,AQ,75,52,51.92
Liberty,CUSA,AQ,106,53,52.36
Hofstra(AQ),CAA,AQ,88,54,54.00000000000001
UC Irvine,Big West,AQ,112,55,55.00000000000001
North Dakota St.(AQ),Summit League,AQ,115,56,56.0
Troy(AQ),Sun Belt,AQ,125,57,57.00000000000001
Wright St.(AQ),Horizon,AQ,127,58,58.64
Tennessee St.(AQ),OVC,AQ,173,59,59.24
Portland St.,Big Sky,AQ,147,60,59.92
ETSU,SoCon,AQ,140,61,60.36
Queens (NC)(AQ),ASUN,AQ,190,62,61.92000000000001
Merrimack,MAAC,AQ,180,63,62.92
UMBC(AQ),America East,AQ,202,64,64.08
LIU(AQ),NEC,AQ,197,65,64.92
Howard,MEAC,AQ,201,66,66.0
Bethune-Cookman,SWAC,AQ,261,67,67.0
Lehigh(AQ),Patriot,AQ,276,68,68.0
